"","Filename","row_max","latitude","longitude","depth","slope4","slope8","aspect4","aspect8","tpi","tri","roughness","flowdir"
"1","1.jpg","Macroalgae",-33.5551,115.3906,-13,0.0806200418678492,0.0806200418678492,309.995320603052,309.995320603052,-0.375,0.375,1,128
"2","10.jpg","Seagrasses",-33.5452,115.3754,-14,0.103632995297272,0.103632995297272,0,0,0.375,0.375,1,64
"3","100.jpg","Substrate",-33.5658,115.2022,-25,0.216273826852041,0.216273826852041,343.404768614417,343.404768614417,-0.125,0.875,2,64
"4","101.jpg","Substrate",-33.5635,115.1855,-26,0.103632995297272,0.103632995297272,360,360,0.125,0.375,2,64
"5","103.jpg","Seagrasses",-33.5593,115.3395,-17,0.18396789377219,0.18396789377219,350.336158157445,350.336158157445,0.125,0.625,2,64
"6","104.jpg","Macroalgae",-33.4936,115.4102,-18,0.161171410086747,0.161171410086747,310.015710255242,310.015710255242,0.25,0.5,2,16
"7","106.jpg","Substrate",-33.5539,115.2544,-25,0.120640796490231,0.120640796490231,30.7931829562946,30.7931829562946,0.125,0.375,2,64
"8","108.jpg","Seagrasses",-33.5274,115.4064,-14,0.0617413496466608,0.0617413496466608,270,270,-0.25,0.25,1,4
"9","11.jpg","Seagrasses",-33.5567,115.3683,-13,0.0961986041029484,0.0961986041029484,285.623834535437,285.623834535437,0.25,0.25,1,16
"10","110.jpg","Seagrasses",-33.4769,115.4199,-20,0.19223173795782,0.19223173795782,285.637582224941,285.637582224941,0,0.5,2,16
"11","111.jpg","Seagrasses",-33.5798,115.2917,-19,0.103632995297272,0.103632995297272,360,360,0.375,0.375,1,64
"12","112.jpg","Seagrasses",-33.5674,115.3109,-19,0.120938181740698,0.120938181740698,309.992054012148,309.992054012148,-0.375,0.375,1,32
"13","113.jpg","Seagrasses",-33.5025,115.4384,-13,0.0617252947278589,0.0617252947278589,270,270,0.125,0.125,1,16
"14","115.jpg","Substrate",-33.5467,115.1977,-28,0.08363360465851,0.08363360465851,21.6664948436769,21.6664948436769,0,0.25,2,64
"15","116.jpg","Substrate",-33.576,115.3534,-13,0.0403155215281764,0.0403155215281764,309.988786249312,309.988786249312,0.125,0.125,1,32
"16","118.jpg","Substrate",-33.5713,115.2398,-23,0.192427663788792,0.192427663788792,285.621253411927,285.621253411927,-0.375,0.625,2,16
"17","119.jpg","Substrate",-33.4885,115.4434,-13,0.1338643714618,0.1338643714618,292.773040979794,292.773040979794,0.75,0.75,2,16
