"","Sample","Date","Time.bottom","Depth","Latitude","Longitude","Site","Location","Status","Filename","Image row","Image col","Broad","Morphology","Type","FOV","CODE","Radius","pa"
"1",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",374,1282,"Macroalgae","Drift Algae","","",80300000,21.9,1
"2",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",794,1384,"Substrate","Unconsolidated (Soft)","Sand / Mud (<2Mm)","Coarse Sand (With Shell Fragments)",82001014,43.1,1
"3",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",735,1224,"Substrate","Unconsolidated (Soft)","Sand / Mud (<2Mm)","Coarse Sand (With Shell Fragments)",82001014,29.3,1
"4",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",797,1517,"Substrate","Unconsolidated (Soft)","Sand / Mud (<2Mm)","Coarse Sand (With Shell Fragments)",82001014,52.8,1
"5",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",634,1728,"Macroalgae","Drift Algae","","",80300000,64.6,1
"6",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",928,1652,"Macroalgae","Drift Algae","","",80300000,70.6,1
"7",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",92,965,"Macroalgae","Drift Algae","","",80300000,37.3,1
"8",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",649,1185,"Macroalgae","Drift Algae","","",80300000,20.4,1
"9",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",64,1698,"Macroalgae","Drift Algae","","",80300000,71.1,1
"10",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",45,1570,"Unscorable","","","",1,62.3,1
"11",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",422,1502,"Macroalgae","Drift Algae","","",80300000,41.2,1
"12",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",557,428,"Macroalgae","Drift Algae","","",80300000,62.2,1
"13",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",629,451,"Macroalgae","Drift Algae","","",80300000,61.4,1
"14",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",68,868,"Macroalgae","Drift Algae","","",80300000,42.9,1
"15",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",610,1411,"Macroalgae","Drift Algae","","",80300000,35,1
"16",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",264,121,"Unscorable","","","",1,93,1
"17",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",329,1361,"Macroalgae","Drift Algae","","",80300000,30.6,1
"18",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",326,718,"Macroalgae","Drift Algae","","",80300000,36.4,1
"19",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",727,900,"Macroalgae","Drift Algae","","",80300000,29.8,1
"20",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",1044,1213,"Macroalgae","Drift Algae","","",80300000,56.6,1
"21",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",347,33,"Unscorable","","","",1,100,1
"22",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",112,564,"Macroalgae","Drift Algae","","",80300000,59.3,1
"23",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",497,123,"Macroalgae","Drift Algae","","",80300000,90.8,1
"24",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",109,1242,"Macroalgae","Drift Algae","","",80300000,37.9,1
"25",1,20210304,1899-12-30 15:07:18,13.5,-33.5551,115.3906,NA,"Geographe",NA,"1.jpg",538,1679,"Macroalgae","Drift Algae","","",80300000,58.3,1
"26",2,20210304,1899-12-30 13:27:59,16.4,-33.5375,115.3772,NA,"Geographe",NA,"2.jpg",1027,526,"Seagrasses","Strap-Like Leaves","Amphibolis sp.","Epiphytes algae",63600903,53,1
